Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_EmbeddingDim__mean,0,1,7,8,3.0007479882370527,3.083344410940279,3.0,3.075360264587763,0.02352559867843019,-1.456472164542866,-0.7142857142857143,0.2592639683548774,0.7142857142857143,1.456472164542866
VMD_Mode4_Diff_MAD__mean,0,1,7,8,0.08014093123619372,0.048583552843865466,0.0798355798486477,0.04447381732187785,0.020512820512820513,1.454197580043496,0.7142857142857143,0.23353057199211044,0.7142857142857143,1.454197580043496
VMD_Mode4_SampEn__std,0,1,7,8,0.1057979375962197,0.14570256020834765,0.0920071801797189,0.14375844073232424,0.020512820512820513,-1.330379822393968,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.330379822393968
Pressure_Clean_RQA_L_mean__median,0,1,7,8,3.232221560189037,2.9861550538440786,3.239085239085239,2.9019031826956394,0.020512820512820513,1.2949270100321388,0.7142857142857143,0.23353057199211044,0.7142857142857143,1.2949270100321388
VMD_Reconstructed_PS_StateSpread__median,0,1,7,8,2.200190027738287,2.6069294123893583,2.1909449026883383,2.5998373380490176,0.020512820512820513,-1.287921768117009,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.287921768117009
VMD_Reconstructed_PS_MeanStep__iqr,0,1,7,8,0.2678627565619684,0.4919133528927243,0.235025251352939,0.4644155937154437,0.020512820512820513,-1.2408189265701848,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.2408189265701848
VMD_Mode4_PS_Eig1__iqr,0,1,7,8,1.7931326977328614,4.614773797884228,1.54537575867045,3.2004286700646656,0.020512820512820513,-1.1514153507657654,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.1514153507657654
VMD_Reconstructed_PS_Eig2__mean,0,1,7,8,3.0820170242157507,8.442819059400035,3.200644785809789,6.9487210321131165,0.020512820512820513,-1.117476414181047,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.117476414181047
VMD_Reconstructed_RQA_epsilon__std,0,1,7,8,0.34188890184173915,0.5071733464181406,0.3048549240917975,0.457099849237212,0.020512820512820513,-1.1138529627018026,-0.7142857142857143,0.23353057199211044,0.7142857142857143,1.1138529627018026
VMD_Mode3_PS_MeanStep__std,0,1,7,8,0.10248034349533078,0.38164918624594096,0.1027148763760879,0.24070065520007283,0.020512820512820513,-0.9712013669306353,-0.7142857142857143,0.23353057199211044,0.7142857142857143,0.9712013669306353
VMD_Mode3_PS_Eig1__std,0,1,7,8,3.3090085007571988,220.7773176092747,2.270746007927864,12.451764905808773,0.020512820512820513,-0.5241506128956598,-0.7142857142857143,0.23353057199211044,0.7142857142857143,0.5241506128956598
VMD_Mode3_SampEn__std,0,1,7,8,0.0982652339855999,0.1395360647305417,0.1002501879948586,0.15496132158695936,0.028904428904428903,-1.5565314339002014,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.5565314339002014
VMD_Reconstructed_Diff_MAD__mean,0,1,7,8,0.11392241015784166,0.06859541020374094,0.1212884909279104,0.0610984779100138,0.028904428904428903,1.4173184369880707,0.6785714285714286,0.2592639683548774,0.6785714285714286,1.4173184369880707
