EventID,StartTime,EndTime,Duration_s,ReferenceSignal,TargetSignal,Reference_PeakAmplitude,Target_PeakAmplitude,PeakPreservationRatio,Reference_Area,Target_Area,AreaPreservationRatio,ShapeCorrelation,Shape_NRMSE,ArtifactRatioInEvent,RangeAbnormalRatioInEvent
33,54577.629999964185,54583.62999996417,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,1.5621304762150459,1.5621304762150459,0.9999999993598485,8.317191557040097,8.317191557040097,0.9999999998797671,1.0,0.0,0.0,0.0
34,54612.4299999641,54617.22999996409,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,4.549877184352525,4.549877184352525,0.9999999997802138,18.264656168626466,18.264656168626466,0.9999999999452495,1.0,0.0,0.0,0.0
35,54736.0299999638,54742.02999996379,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,2.957403503118499,2.957403503118499,0.9999999996618655,16.44988630475308,16.286382770958816,0.9900605066955946,0.949464072494424,0.18493551375960965,0.0,0.0
36,54748.02999996377,54757.62999996375,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,3.986000000000004,3.986000000000004,0.9999999997491219,29.849793726605785,29.849793726605785,0.9999999999664989,1.0,0.0,0.0,0.0
37,54792.429999963664,54802.02999996364,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,1.918999999999997,1.918999999999997,0.9999999994788952,16.9775094806907,16.9775094806907,0.9999999999410986,0.9999999999999999,0.0,0.0,0.0
38,54857.22999996351,54902.8299999634,45.599999999889405,Pressure_RangeFixed,Pressure_Preclean,5.094999999999999,5.094999999999999,0.9999999998037291,220.8810273107723,220.8810273107723,0.9999999999954727,1.0,0.0,0.0,0.0
39,54977.229999963216,54985.629999963196,8.399999999979627,Pressure_RangeFixed,Pressure_Preclean,1.85283478270469,1.85283478270469,0.9999999994602864,12.487639025585207,12.487639025585207,0.9999999999199208,0.9999999999999999,0.0,0.0,0.0
40,55002.429999963155,55027.629999963094,25.199999999938882,Pressure_RangeFixed,Pressure_Preclean,7.181807866526242,7.181807866526242,0.9999999998607593,111.15444364324604,111.15444364324604,0.9999999999910035,1.0,0.0,0.0,0.0
41,55069.62999996299,55082.82999996296,13.199999999967986,Pressure_RangeFixed,Pressure_Preclean,1.5225087867725762,1.5225087867725762,0.9999999993431893,13.440712204753057,13.440712204753057,0.9999999999255992,1.0,0.0,0.0,0.0
42,55222.02999996262,55237.629999962584,15.599999999962165,Pressure_RangeFixed,Pressure_Preclean,5.473499992027726,5.473499992027726,0.9999999998173015,60.30556772963328,60.30556772963328,0.9999999999834178,0.9999999999999998,0.0,0.0,0.0
43,55268.82999996251,55283.229999962474,14.399999999965075,Pressure_RangeFixed,Pressure_Preclean,6.602000011256749,6.602000011256749,0.9999999998485307,66.49368156901879,66.49368156901879,0.9999999999849609,1.0,0.0,0.0,0.0
44,55403.22999996218,55409.22999996217,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,4.69821049884176,4.69821049884176,0.999999999787153,20.738635786785473,20.738635786785473,0.9999999999517808,0.9999999999999999,0.0,0.0,0.0
46,55744.029999961356,55756.02999996133,11.999999999970896,Pressure_RangeFixed,Pressure_Preclean,3.2814736909941615,3.2814736909941615,0.9999999996952589,24.474310666526453,24.474310666526453,0.9999999999591408,1.0,0.0,0.0,0.0
47,55951.62999996085,55962.42999996083,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,3.057587715209479,3.057587715209479,0.9999999996729447,23.466777718551565,23.466777718551565,0.9999999999573865,1.0,0.0,0.0,0.0
48,56045.229999960626,56057.2299999606,11.999999999970896,Pressure_RangeFixed,Pressure_Preclean,3.598789493998723,3.598789493998723,0.9999999997221287,32.9676047837064,32.9676047837064,0.9999999999696673,0.9999999999999999,0.0,0.0,0.0
49,56125.62999996043,56132.82999996041,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,3.8901842239610573,3.8901842239610573,0.9999999997429427,21.67534485546569,21.67534485546569,0.9999999999538647,1.0,0.0,0.0,0.0
51,56300.829999960006,56309.229999959985,8.399999999979627,Pressure_RangeFixed,Pressure_Preclean,2.274747822155504,2.274747822155504,0.9999999995603908,16.504620018464195,16.504620018464195,0.9999999999394109,0.9999999999999998,0.0,0.0,0.0
52,56525.22999995946,56536.029999959435,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.040421047437931,2.040421047437931,0.999999999509905,15.398559989640958,15.398559989640958,0.9999999999350588,1.0,0.0,0.0,0.0
